id,business_name,doctor_name,specialty,experience_years,phone,email,address,area,city,pincode,website_url,practo_rating,justdial_rating,google_rating,total_reviews,qualifications,services,description,priority_tier,opportunity_score,digital_status,source
1,"Khandelwal Diabetes, Thyroid & Endocrinology Clinic","Dr. Deepak Khandelwal","Diabetologist, Endocrinologist",15,,,GH-1/1 Archana Apartments Paschim Vihar (Opp. Lal Market),Paschim Vihar,Delhi,110063,,4.5,4.6,4.5,644,"MBBS (MAMC), MD (MAMC), DM Endocrinology (AIIMS)","Thyroid Disorder Treatment; Diabetes Management; Insulin Pump Therapy; CGMS; Obesity Management; PCOS Treatment; Growth Disorders",Leading Endocrinologist & Diabetologist in West Delhi with 15+ years experience.,Tier 1 - Immediate,90,Directory Only - NO Website,Delhi_Doctors_Enriched_Profiles_Report.md
2,Dr. Sanjay K. Verma ENT Clinic,Dr. Sanjay Kumar Verma,ENT / Otorhinolaryngologist,41,,,Shop No - AJ-50/A Poorvi Shalimar Bagh (Near Ever Bake Restaurant),Shalimar Bagh,Delhi,110088,,4.5,4.4,0,61,"MBBS (JJMMC 1983), MS ENT (JJMMC 1987)","Ear Wax Removal; Nasal Discharge Treatment; Nasal Blockage Treatment; Hearing Problems; Throat Infections; Tonsillitis; Sinusitis; Vertigo Treatment",Trusted ENT Specialist in North Delhi with 41 years of expertise.,Tier 1 - Immediate,88,Directory Only - NO Website,Delhi_Doctors_Enriched_Profiles_Report.md
3,Dr. Valecha's Multispeciality Dental Clinic & Implant Center,Dr. Poonam Valecha & Dr. Anuj Valecha,"Dentistry, Implantology, Cosmetic Dentistry",25,,,Plot No-3 F Block Pocket 24 Sector 3 Rohini (Near LG Showroom Near Saint Giri School),Rohini Sector 3,Delhi,110085,,5.0,4.9,0,1443,"BDS (Rama Medical College), BDS (Kasturba Medical College)","Dental Checkup; RCT; Dental Implants; Smile Designing; Teeth Whitening; Invisalign; Dental Fillings; Dentures; Tooth Extraction; Full Mouth Rehabilitation",Premier Dental Implant & Cosmetic Dentistry Center in Rohini. 25+ years combined experience.,Tier 2 - High,87,Directory Only - NO Website,Delhi_Doctors_Enriched_Profiles_Report.md
4,Dr. Mahajan's Bone and Joint Clinic,Dr. Atul Mahajan,"Orthopedic Surgeon, Joint Replacement, Sports Medicine",16,,,K-8 School Road Arya Samaj Road Uttam Nagar | Z-77 Ground Floor Block A West Patel Nagar,Uttam Nagar & Patel Nagar,Delhi,110059,,0,4.4,5.0,55,"MBBS (Manipal 2009), MS Orthopaedics (Kasturba 2012), MRCS UK (Edinburgh 2015)","Bone Trauma Treatment; Spine Surgery; Sports Injury Treatment; Joint Replacement; Arthritis Management; Pain Management; Pediatric Orthopedic",Expert orthopedic surgeon with UK credentials. Specializes in joint replacement and sports injuries.,Tier 2 - High,85,Directory Only - NO Website,Delhi_Doctors_Enriched_Profiles_Report.md
5,Dr. Dhawan's Medicentre Multispeciality Wellness Centre,Dr. Sumit Dhawan,"Homeopathy, Internal Medicine, Sexology",27,,,N-28 Malviya Nagar Khirki Extension (Near Apeejay School Opposite UCO Bank),Malviya Nagar,Delhi,,,4.5,0,0,613,"BHMS, MD (Medicine), ISO 9001:2008 Certified","Skin Disease Treatment; Kidney Stone Treatment; Gall Bladder Stone Treatment; Hair Fall Treatment; Physiotherapy; Yoga & Naturopathy; Diabetes Management; Slip Disc Treatment; Piles Treatment",Award-winning homeopathy center with ISO certification. 27 years of holistic wellness services.,Tier 2 - High,85,Directory Only - NO Website,Delhi_Doctors_Enriched_Profiles_Report.md
6,Riddhi Siddhi Physiotherapy Clinic,Dr. Kanika Goel,Orthopedic Physiotherapist,11,,,Mayur Vihar Phase 1,Mayur Vihar Phase 1,Delhi,110091,,4.5,4.8,0,55,MPTh/MPT Orthopedic Physiotherapy (I.T.S. Centre Ghaziabad 2016),"Orthopedic Physiotherapy; Neuro Physiotherapy; Pediatric Physiotherapy; Post-Operative Rehabilitation; Sports Injury Rehabilitation; Back & Neck Pain Treatment; Slimming & Weight Loss; Home Care Physiotherapy",Advanced physiotherapy clinic with computerized imported machines.,Tier 3 - Medium,82,Has Basic Website - Needs Upgrade,Delhi_Doctors_Enriched_Profiles_Report.md
7,Shri Mahavir Clinic,Dr. Ashok Grover,"General Physician, Internal Medicine, Chest/TB, Diabetologist",45,,,Preet Vihar,Preet Vihar,Delhi,,,0,0,0,0,"MBBS (MAMC 1980), DTCD (VP Chest Institute 1983), MD Medicine (MAMC 1985)","General Medicine; Diabetes Management; TB & Chest Diseases; Travel Vaccination; Digital X-Ray; Nebuliser Therapy; Holter Test; CGMS; ECG",Veteran physician with 45 years experience. Former Associate Professor at GTB Hospital.,Tier 1 - Immediate,88,Directory Only - NO Website,Delhi_Doctors_Enriched_Profiles_Report.md
8,32 Pearls Dental,,Dentistry,8,+91-11-29295987,,,Vikaspuri,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/32-pearls-dental/,0,0,4,80,,General Dentistry,Dental clinic in Vikaspuri with 8 years of experience.,,0,Has Portfolio Website,site-urls.json
9,Advanced Dental Clinic,,Dentistry,16,+91-11-44928498,,,Lajpat Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/advanced-dental-clinic/,0,0,0,70,,General Dentistry,Dental clinic in Lajpat Nagar with 16 years of experience.,,0,Has Portfolio Website,site-urls.json
10,Advanced Oral Care,,Dentistry,4,+91-11-43304084,,,Defence Colony,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/advanced-oral-care/,0,0,3.7,99,,General Dentistry,Dental clinic in Defence Colony with 4 years of experience.,,0,Has Portfolio Website,site-urls.json
11,Bright Smile Dental,,Dentistry,26,+91-11-29237755,,,Vasant Kunj,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/bright-smile-dental/,0,0,4.5,99,,General Dentistry,Dental clinic in Vasant Kunj with 26 years of experience.,,0,Has Portfolio Website,site-urls.json
12,City Dental Clinic,,Dentistry,27,+91-11-45918838,,,Dwarka,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/city-dental-clinic/,0,0,4.7,80,,General Dentistry,Dental clinic in Dwarka with 27 years of experience.,,0,Has Portfolio Website,site-urls.json
13,Comprehensive Dental,,Dentistry,5,+91-11-47808575,,,Green Park,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/comprehensive-dental/,0,0,4.4,23,,General Dentistry,Dental clinic in Green Park with 5 years of experience.,,0,Has Portfolio Website,site-urls.json
14,Crown Dental Clinic,,Dentistry,28,+91-11-39057761,,,Rajouri Garden,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/crown-dental-clinic/,0,0,4.7,144,,General Dentistry,Dental clinic in Rajouri Garden with 28 years of experience.,,0,Has Portfolio Website,site-urls.json
15,Dental Arts Clinic,,Dentistry,11,+91-11-30559433,,,Mayur Vihar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-arts-clinic/,0,0,4.2,95,,General Dentistry,Dental clinic in Mayur Vihar with 11 years of experience.,,0,Has Portfolio Website,site-urls.json
16,Dental Care Centre,,Dentistry,22,+91-11-34600047,,,Preet Vihar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-care-centre/,0,0,4.5,183,,General Dentistry,Dental clinic in Preet Vihar with 22 years of experience.,,0,Has Portfolio Website,site-urls.json
17,Dental Care Plus,,Dentistry,23,+91-11-20485097,,,Patel Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-care-plus/,0,0,4,46,,General Dentistry,Dental clinic in Patel Nagar with 23 years of experience.,,0,Has Portfolio Website,site-urls.json
